epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.3085,1.35532,1.47389,1.14869,0.87596,0.52975,0.64114,0.41353,1.17126,0.89942,1.01169,0.000198438,0.000198438,0.0803547
2,144.466,1.06792,0.81619,0.98899,0.87859,0.6647,0.73872,0.52006,0.8715,0.71877,0.93875,0.000394493,0.000394493,0.0605507
3,195.411,1.00494,0.74832,0.97163,0.87288,0.73009,0.79108,0.53325,0.9409,0.59665,0.94472,0.000586588,0.000586588,0.0407428
4,245.38,0.98843,0.69185,0.96195,0.8786,0.72858,0.80321,0.55952,0.91091,0.60807,0.94376,0.000774724,0.000774724,0.020931
5,301.555,0.95849,0.67792,0.95265,0.89371,0.73561,0.81599,0.56023,0.87201,0.65202,0.94515,0.000958899,0.000958899,0.00111515
6,345.549,0.94615,0.65896,0.94597,0.88807,0.74053,0.80533,0.57161,0.86162,0.61372,0.93187,0.0009505,0.0009505,0.0009505
7,391.514,0.9344,0.62697,0.94274,0.91935,0.77885,0.83989,0.59938,0.82501,0.53446,0.91781,0.0009406,0.0009406,0.0009406
8,437.547,0.92313,0.61982,0.93951,0.92219,0.77201,0.84263,0.61279,0.80336,0.52385,0.91612,0.0009307,0.0009307,0.0009307
9,487.839,0.89777,0.60528,0.93153,0.94948,0.78387,0.85986,0.61967,0.8031,0.49686,0.91492,0.0009208,0.0009208,0.0009208
10,544.089,0.88205,0.5916,0.92682,0.94575,0.77174,0.85746,0.6104,0.80542,0.5221,0.91175,0.0009109,0.0009109,0.0009109
11,592.318,0.88047,0.58742,0.9286,0.93479,0.797,0.866,0.61891,0.80279,0.48007,0.9071,0.000901,0.000901,0.000901
12,640.943,0.87158,0.57576,0.92598,0.9455,0.80672,0.87382,0.63549,0.77903,0.47751,0.90174,0.0008911,0.0008911,0.0008911
13,693.428,0.86149,0.56628,0.92224,0.95958,0.81738,0.87582,0.63792,0.77882,0.4562,0.90009,0.0008812,0.0008812,0.0008812
14,742.904,0.86139,0.56037,0.92062,0.93563,0.81706,0.87351,0.62609,0.78011,0.47617,0.90131,0.0008713,0.0008713,0.0008713
15,797.049,0.85155,0.55099,0.91472,0.94464,0.81142,0.87125,0.6385,0.77449,0.47096,0.90128,0.0008614,0.0008614,0.0008614
16,852.795,0.83909,0.54037,0.91292,0.94461,0.8158,0.87871,0.63729,0.787,0.4702,0.91174,0.0008515,0.0008515,0.0008515
17,905.856,0.83747,0.52948,0.91039,0.9302,0.81433,0.87225,0.63712,0.76976,0.47681,0.90185,0.0008416,0.0008416,0.0008416
18,960.584,0.84038,0.53354,0.91147,0.92101,0.82357,0.88294,0.61814,0.81285,0.47601,0.91824,0.0008317,0.0008317,0.0008317
19,1012.4,0.84371,0.54063,0.90963,0.96331,0.79931,0.88155,0.64619,0.77765,0.46198,0.90291,0.0008218,0.0008218,0.0008218
